"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"1",6836.33628151895,"F",0,"pup","no",0,107.92,0.36,511.78,2411.712072,0.320569478769563,6.2118,461.62004942817,3.1059,2867.49142303791,0.319430521230437,466.59995057183,1449.21278648105
"2",8445.03375658875,"M",0,"pup","no",0,124.88,0.36,511.78,2981.425568,0.320985164215012,7.6792,462.218636469618,3.8396,3549.46935317749,0.319014835784988,466.001363530382,1789.25883541126
"3",9610.82251540867,"F",1,"juvenile","no",0,75.58,0.3,427.68,3114.280224,0.437478353715376,7.5984,629.968829350141,4.2741,4786.75515293411,0.262521646284624,382.351170649859,1634.20713847456
"4",11827.5846760556,"M",1,"juvenile","no",0,102.46,0.3,427.68,3830.387616,0.437022914790829,9.3456,629.312997298793,5.2569,5881.3075475556,0.262977085209171,383.007002701207,2013.42951249997
"5",9947.18375357975,"F",2,"adult","no",0,38.32,0.09,125.28,1151.3232,0.421863869540365,8.6386,607.483972138126,4.9626,5247.81104171242,0.488136130459635,707.236027861874,3509.72951186734
"6",13092.0668048119,"F",2,"adult","yes",3931,38.32,0.06,92.45,842.818576,0.300858534112393,8.6386,433.236289121846,4.9626,3742.55500720798,0.639141465887607,914.313710878154,4537.37322160393
"7",13836.505555594,"M",2,"subadult","no",0,63.98,0.27,386.64,4680.509184,0.409503593463967,10.476,589.685174588112,6.2856,6177.54188898506,0.320496406536033,463.674825411888,2914.47448260896
"8",10860.0183240341,"F",3,"adult","no",0,20.2,0.09,125.28,1233.3816,0.461491801399832,9.2543,664.548194015758,5.3163,6149.92835188003,0.448508198600168,650.171805984242,3456.50837215402
"9",13873.7015910315,"F",3,"adult","yes",3931,20.2,0.06,92.45,902.888888,0.327230517118021,9.2543,471.211944649951,5.3163,4360.73669937404,0.612769482881979,876.338055350049,4658.87600365747
"10",14823.458824048,"M",3,"adult","no",0,38.93,0.24,345.6,4960.32768,0.381166090906385,11.0209,548.879170905194,6.9201,6049.14245462906,0.378833909093615,545.520829094806,3775.05868941896
"11",11372.1602889116,"F",4,"adult","no",0,11.12,0.09,125.28,1277.856,0.483678262682391,9.588,696.496698262643,5.508,6678.01034294222,0.426321737317609,618.223301737357,3405.17394596936
"12",14308.3884766538,"F",4,"adult","yes",3931,11.12,0.06,92.45,935.44608,0.341863595563355,9.588,492.283577611232,5.508,4720.01494213649,0.598136404436645,855.266422388768,4710.80745451733
"13",15812.4838765952,"M",4,"adult","no",0,24.25,0.24,345.6,5242.89024,0.407043028606294,11.6487,586.141961193064,7.3143,6827.79186334964,0.352956971393706,508.258038806936,3717.55177324558
"14",11666.4589216312,"F",5,"adult","no",0,6.41,0.09,125.28,1302.912,0.496405816244521,9.776,714.82437539211,5.616,6988.12309383326,0.41359418375548,599.89562460789,3369.01382779791
"15",14556.9717526769,"F",5,"adult","yes",3931,6.41,0.06,92.45,953.78816,0.350215810743333,9.776,504.3107674704,5.616,4930.14206279063,0.589784189256667,843.2392325296,4735.63152988623
"16",16439.6049835276,"M",5,"adult","no",0,15.21,0.24,345.6,5419.008,0.423444162873195,12.04,609.759594537401,7.56,7341.50551823031,0.336555837126805,484.640405462599,3663.88146529725
"17",11845.2305646468,"F",6,"adult","no",0,3.88,0.09,125.28,1317.9456,0.504123030973871,9.8888,725.937164602374,5.6808,7178.64743331996,0.405876969026129,588.782835397626,3344.75753132683
"18",14707.5719124605,"F",6,"adult","yes",3931,3.88,0.06,92.45,964.793408,0.355265180156262,9.8888,511.581859425017,5.6808,5058.93069148211,0.584734819843738,835.968140574983,4748.96781297836
"19",16843.7727433751,"M",6,"adult","no",0,9.59,0.24,345.6,5531.25888,0.434009071662733,12.2894,624.973063194335,7.7166,7680.54396282046,0.325990928337268,469.426936805665,3622.3799005546
"20",11950.2451819058,"F",7,"adult","no",0,2.47,0.09,125.28,1326.7152,0.508653044982466,9.9546,732.460384774751,5.7186,7291.35014627874,0.401346955017534,582.259615225249,3329.70983562711
"21",14795.8913034363,"F",7,"adult","yes",3931,2.47,0.06,92.45,971.213136,0.358223943158558,9.9546,515.842478148324,5.7186,5135.0055329753,0.581776056841442,831.707521851676,4756.20263446099
