"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"1",7196.23297866984,"F",0,"pup","no",0,107.92,0.36,511.78,2411.712072,0.401038348311512,6.2118,577.495221568577,3.1059,3587.28481733968,0.238961651688488,350.724778431423,1089.31608933016
"2",8890.67899770607,"M",0,"pup","no",0,124.88,0.36,511.78,2981.425568,0.401586232526043,7.6792,578.284174837502,3.8396,4440.75983541215,0.238413767473957,349.935825162498,1343.61359429393
"3",10142.0290007305,"F",1,"juvenile","no",0,75.58,0.3,427.68,3114.280224,0.548447096784471,7.5984,789.763819369638,4.2741,6000.94140509826,0.151552903215529,222.556180630362,951.22737163223
"4",12480.0712021076,"M",1,"juvenile","no",0,102.46,0.3,427.68,3830.387616,0.547844360015877,9.3456,788.895878422863,5.2569,7372.7053213887,0.152155639984123,223.424121577137,1174.51826471885
"5",10518.7430937937,"F",2,"adult","no",0,38.32,0.09,125.28,1151.3232,0.529838899051223,8.6386,762.96801463376,4.9626,6590.9754912152,0.380161100948778,551.75198536624,2738.1244025785
"6",13468.7047775259,"F",2,"adult","yes",3931,38.32,0.06,92.45,842.818576,0.372010369726654,8.6386,535.694932406382,4.9626,4627.65424308577,0.567989630273346,811.855067593618,4028.91195844009
"7",14425.2592733074,"M",2,"subadult","no",0,63.98,0.27,386.64,4680.509184,0.507073455150692,10.476,730.185775416996,6.2856,7649.42618326845,0.222926544849308,323.174224583004,2031.34390603893
"8",11547.7238155713,"F",3,"adult","no",0,20.2,0.09,125.28,1233.3816,0.582764848127094,9.2543,839.181381303016,5.3163,7766.0362569925,0.327235151872906,475.538618696984,2528.10595857878
"9",14320.8797380258,"F",3,"adult","yes",3931,20.2,0.06,92.45,902.888888,0.406087901540853,9.2543,584.766578218829,5.3163,5411.60534481051,0.533912098459147,762.783421781171,4055.18550521524
"10",15338.6290062253,"M",3,"adult","no",0,38.93,0.24,345.6,4960.32768,0.468406890495848,11.0209,674.505922314021,6.9201,7433.66231923059,0.291593109504152,419.894077685979,2905.70900699474
"11",12129.8883155399,"F",4,"adult","no",0,11.12,0.09,125.28,1277.856,0.612648855450018,9.588,882.214351848025,5.508,8458.67120551887,0.297351144549982,432.505648151975,2382.24111002108
