"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"1",6939.10409843705,"F",0,"pup","no",0,107.92,0.36,511.78,2411.712072,0.343547211319373,6.2118,494.707984299897,3.1059,3073.0270568741,0.296452788680627,433.512015700103,1346.44496956295
"2",8572.2806009614,"M",0,"pup","no",0,124.88,0.36,511.78,2981.425568,0.34399950533067,7.6792,495.359287676164,3.8396,3803.9630419228,0.29600049466933,432.860712323836,1662.0119910386
"3",9762.27943445537,"F",1,"juvenile","no",0,75.58,0.3,427.68,3114.280224,0.469117620930925,7.5984,675.529374140533,4.2741,5132.94239646942,0.230882379069075,336.790625859467,1439.47681398595
"4",12013.6285195278,"M",1,"juvenile","no",0,102.46,0.3,427.68,3830.387616,0.468621494662762,9.3456,674.814952314377,5.2569,6306.55061834924,0.231378505337238,337.505047685623,1774.23028517855
"5",10109.933300353,"F",2,"adult","no",0,38.32,0.09,125.28,1151.3232,0.45260938602365,8.6386,651.757515874056,4.9626,5630.27247662962,0.45739061397635,662.962484125944,3290.01762372341
"6",13200.5144994198,"F",2,"adult","yes",3931,38.32,0.06,92.45,842.818576,0.321345721009365,8.6386,462.737838253485,4.9626,3997.40708953656,0.618654278990635,884.812161746515,4390.96883388325
"7",14005.8566445244,"M",2,"subadult","no",0,63.98,0.27,386.64,4680.509184,0.437568914881562,10.476,630.099237429449,6.2856,6600.91961131091,0.292431085118438,423.260762570551,2660.44784921345
"8",11055.0805568194,"F",3,"adult","no",0,20.2,0.09,125.28,1233.3816,0.495889943573188,9.2543,714.081518745391,5.3163,6608.32459892548,0.414110056426812,600.638481254609,3193.17435789388
"9",14002.1284162041,"F",3,"adult","yes",3931,20.2,0.06,92.45,902.888888,0.349877874979556,9.2543,503.824139970561,5.3163,4662.53973852956,0.590122125020444,843.725860029439,4485.49978967451
"10",14972.4485079415,"M",3,"adult","no",0,38.93,0.24,345.6,4960.32768,0.406396547953634,11.0209,585.211029053233,6.9201,6449.55223009277,0.353603452046366,509.188970946767,3523.63859784873
"11",11586.6141964976,"F",4,"adult","no",0,11.12,0.09,125.28,1277.856,0.520179812857026,9.588,749.058930514117,5.508,7181.97702576935,0.389820187142974,565.661069485883,3115.66117072824
"12",14448.6392103386,"F",4,"adult","yes",3931,11.12,0.06,92.45,935.44608,0.365735248219389,9.588,526.658757435921,5.508,5049.60416629561,0.574264751780611,820.891242564079,4521.46896404295
"13",15982.5060430932,"M",4,"adult","no",0,24.25,0.24,345.6,5242.89024,0.434283465335007,11.6487,625.368190082409,7.3143,7284.72643581296,0.325716534664994,469.031809917591,3430.63936728023
"14",11892.4598218123,"F",5,"adult","no",0,6.41,0.09,125.28,1302.912,0.534132996429671,9.776,769.151514858727,5.616,7519.22520925891,0.375867003570329,545.568485141273,3063.91261255339
"15",14704.2078906946,"F",5,"adult","yes",3931,6.41,0.06,92.45,953.78816,0.374794492971191,9.776,539.704069878515,5.616,5276.14698713237,0.565205507028809,807.845930121485,4536.86274356226
"16",16623.6845967251,"M",5,"adult","no",0,15.21,0.24,345.6,5419.008,0.451978329105448,12.04,650.848793911846,7.56,7836.21947869862,0.308021670894552,443.551206088154,3353.24711802645
"17",12078.3831931854,"F",6,"adult","no",0,3.88,0.09,125.28,1317.9456,0.542600109775264,9.8888,781.344158076379,5.6808,7726.5561103857,0.367399890224737,533.375841923621,3030.0014827997
"18",14859.1145977872,"F",6,"adult","yes",3931,3.88,0.06,92.45,964.793408,0.380274204852401,9.8888,547.594854987458,5.6808,5415.05600199997,0.559725795147599,799.955145012542,4544.38518778725
"19",17037.2065889026,"M",6,"adult","no",0,9.59,0.24,345.6,5531.25888,0.46338474070448,12.2894,667.274026614452,7.7166,8200.39742267564,0.29661525929552,427.125973385548,3295.96028622692
"20",12187.6487978451,"F",7,"adult","no",0,2.47,0.09,125.28,1326.7152,0.547572691389462,9.9546,788.504675600825,5.7186,7849.24864373598,0.362427308610538,526.215324399175,3009.21495410912
"21",14949.9867350463,"F",7,"adult","yes",3931,2.47,0.06,92.45,971.213136,0.383486151939451,9.9546,552.22005879281,5.7186,5497.1297972589,0.556513848060549,795.32994120719,4548.17380178744
"22",17295.7369183325,"M",7,"adult","no",0,6.09,0.24,345.6,5600.93184,0.470515559960696,12.4442,677.542406343402,7.8138,8431.47321301856,0.289484440039304,416.857593656598,3257.24186531393
"23",12266.2215295961,"F",8,"adult","no",0,1.65,0.09,125.28,1332.9792,0.551139746762097,10.0016,793.641235337419,5.7456,7937.68217935073,0.358860253237903,521.078764662581,2993.91015024532
"24",15015.2840988535,"F",8,"adult","yes",3931,1.65,0.06,92.45,975.798656,0.385787411702029,10.0016,555.533872850921,5.7456,5556.22758270577,0.554212588297971,792.016127149079,4550.60786014775
"25",17461.7031028211,"M",8,"adult","no",0,3.89,0.24,345.6,5645.44512,0.475091986930828,12.5431,684.132461180393,7.8759,8581.14187383178,0.284908013069172,410.267538819607,3231.22610898934
"26",12313.5033861235,"F",9,"adult","no",0,1.16,0.09,125.28,1336.7376,0.553286097138181,10.0298,796.73197987898,5.7618,7991.0624117902,0.356713902861819,517.98802012102,2984.54337433329
"27",15054.545445963,"F",9,"adult","yes",3931,1.16,0.06,92.45,978.549968,0.387170983020117,10.0298,557.526215548969,5.7618,5591.87643671305,0.552829016979883,790.023784451031,4551.95904124995
"28",17570.2968705186,"M",9,"adult","no",0,2.49,0.24,345.6,5674.47552,0.478085326207497,12.6076,688.442869738796,7.9164,8679.61232451884,0.281914673792503,405.957130261204,3213.7190259998
"29",12353.0816008476,"F",10,"adult","no",0,0.85,0.09,125.28,1339.8696,0.555078240229008,10.0533,799.312665929771,5.7753,8035.73002439177,0.354921759770992,515.407334070229,2976.63197645579
"30",15087.4080581932,"F",10,"adult","yes",3931,0.85,0.06,92.45,980.842728,0.388325576462454,10.0533,559.188830105933,5.7753,5621.69306570398,0.551674423537546,788.361169894067,4553.0222644892
"31",17635.5348967614,"M",10,"adult","no",0,1.61,0.24,345.6,5691.89376,0.47988464346875,12.6463,691.033886595,7.9407,8739.02184004635,0.28011535653125,403.366113405,3203.00929671508
"32",12384.8335835867,"F",11,"adult","no",0,0.64,0.09,125.28,1342.3752,0.556514263426579,10.0721,801.380539334274,5.7861,8071.58493022874,0.353485736573421,513.339460665726,2970.23345335796
"33",15113.7666357961,"F",11,"adult","yes",3931,0.64,0.06,92.45,982.676936,0.389250311867463,10.0721,560.520449089147,5.7861,5645.6180152708,0.550749688132537,787.029550910853,4553.83168452529
"34",17679.0944336657,"M",11,"adult","no",0,1.04,0.24,345.6,5703.50592,0.481085572201729,12.6721,692.76322397049,7.9569,8778.76485047645,0.27891442779827,401.63677602951,3195.7836631892
"35",12400.6917456832,"F",12,"adult","no",0,0.5,0.09,125.28,1343.628,0.557233046115521,10.0815,802.41558640635,5.7915,8089.55273435562,0.352766953884479,512.30441359365,2967.01101132762
"36",15126.9211014704,"F",12,"adult","yes",3931,0.5,0.06,92.45,983.59404,0.389713033616673,10.0815,561.186768408009,5.7915,5657.60440570534,0.550286966383327,786.363231591991,4554.22265576502
"37",17708.176759192,"M",12,"adult","no",0,0.68,0.24,345.6,5711.24736,0.481886807319311,12.6893,693.917002539808,7.9677,8805.32102032839,0.278113192680689,400.482997460192,3190.92837886357
"38",12416.6013713281,"F",13,"adult","no",0,0.4,0.09,125.28,1344.8808,0.557952343600913,10.0909,803.451374785314,5.7969,8107.54747782113,0.352047656399087,511.268625214686,2963.77309350701
