"diet","species","portion_edible","mass_edible","energy_density","diet_proportion","ing_mass_per100items","sum_ing_mass_per100items","prop_edible_biomass","og_mass","og_ing_mass_per100_items","sum_og_ing_mass_per100_items","prop_og_biomass","energy_contribution","total_energy_density","captured_biomass","total_captured_biomass","cap_mass_per100kJ","ecological_ratio","ing_mass_per100kJ"
1,"abalone",0.61,142.38,4.17,0.0625,8.89875,162.191017,0.0548658622690553,233.409836065574,14.5881147540984,220.411050952844,0.0661859498016705,0.22879064566196,3.19226020304195,0.089944036506648,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"cancer crabs",0.74,224.45,3.15,0.6354,142.61553,162.191017,0.879305972907242,303.310810810811,192.723689189189,220.411050952844,0.874383059996487,2.76981381465781,3.19226020304195,1.18825131473952,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"kelp crab",0.94,51.3,3.05,0.1875,9.61875,162.191017,0.0593050723641495,54.5744680851064,10.2327127659574,220.411050952844,0.0464255885615586,0.180880470710656,3.19226020304195,0.0630905025150526,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"urchin",0.36,14.43,1.64,0.0417,0.601731,162.191017,0.00371001434684882,40.0833333333333,1.671475,220.411050952844,0.0075834446266381,0.00608442352883206,3.19226020304195,0.0103055954079134,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"clam",0.43,8.63,2.22,0.0208,0.179504,162.191017,0.0011067444012636,20.0697674418605,0.417451162790698,220.411050952844,0.0018939665728467,0.0024569725708052,3.19226020304195,0.00257382418898513,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"mussel",0.36,11.62,2.29,0.0208,0.241696,162.191017,0.00149019350436652,32.2777777777778,0.671377777777778,220.411050952844,0.00304602593597458,0.00341254312499933,3.19226020304195,0.00413942640101811,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
1,"turban snail",0.33,1.12,3.8,0.0313,0.035056,162.191017,0.000216140207074477,3.39393939393939,0.106230303030303,220.411050952844,0.000481964504824355,0.000821332786883012,3.19226020304195,0.000654970324468112,1.3589596700836,42.5704542752696,1.3589596700836,31.3257672118046
2,"abalone",0.61,142.38,4.17,0,0,97.185212,0,233.409836065574,0,130.38192891033,0,0,3.09748418267586,0,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"cancer crabs",0.74,224.45,3.15,0.3404,76.40278,97.185212,0.786156437051349,303.310810810811,103.247,130.38192891033,0.791881212855868,2.47639277671175,3.09748418267586,1.0623735635829,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"kelp crab",0.94,51.3,3.05,0.3404,17.46252,97.185212,0.179682892496031,54.5744680851064,18.5771489361702,130.38192891033,0.142482544102769,0.548032822112895,3.09748418267586,0.19115201329365,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"urchin",0.36,14.43,1.64,0.0426,0.614718,97.185212,0.00632522157794953,40.0833333333333,1.70755,130.38192891033,0.0130965235310666,0.0103733633878372,3.09748418267586,0.0175700599387487,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"clam",0.43,8.63,2.22,0.1702,1.468826,97.185212,0.0151136779945492,20.0697674418605,3.41587441860465,130.38192891033,0.0261989866782375,0.0335523651478993,3.09748418267586,0.0351480883594168,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"mussel",0.36,11.62,2.29,0.1064,1.236368,97.185212,0.0127217708801211,32.2777777777778,3.43435555555556,130.38192891033,0.0263407328320593,0.0291328553154774,3.09748418267586,0.035338252444781,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
2,"turban snail",0.33,1.12,3.8,0,0,97.185212,0,3.39393939393939,0,130.38192891033,0,0,3.09748418267586,0,1.3415819776195,43.3119880037784,1.3415819776195,32.2842649396879
3,"abalone",0.61,142.38,4.17,0,0,42.672165,0,233.409836065574,0,55.9211225360577,0,0,3.12809932095079,0,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"cancer crabs",0.74,224.45,3.15,0.1364,30.61498,42.672165,0.717446138483951,303.310810810811,41.3715945945946,55.9211225360577,0.7398205314623,2.25995533622444,3.12809932095079,0.969521808762096,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"kelp crab",0.94,51.3,3.05,0.2159,11.07567,42.672165,0.259552567815577,54.5744680851064,11.7826276595745,55.9211225360577,0.210700842995007,0.79163533183751,3.12809932095079,0.276119752995295,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"urchin",0.36,14.43,1.64,0,0,42.672165,0,40.0833333333333,0,55.9211225360577,0,0,3.12809932095079,0,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"clam",0.43,8.63,2.22,0.0341,0.294283,42.672165,0.00689636909681053,20.0697674418605,0.684379069767442,55.9211225360577,0.0122382927725773,0.0153099393949194,3.12809932095079,0.0160380676670012,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"mussel",0.36,11.62,2.29,0,0,42.672165,0,32.2777777777778,0,55.9211225360577,0,0,3.12809932095079,0,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
3,"turban snail",0.33,1.12,3.8,0.6136,0.687232,42.672165,0.0161049246036614,3.39393939393939,2.08252121212121,55.9211225360577,0.0372403327701158,0.0611987134939134,3.12809932095079,0.0488028018292771,1.31048243125367,41.8938881664201,1.31048243125367,31.9682943985311
4,"abalone",0.61,142.38,4.17,0,0,43.572778,0,233.409836065574,0,71.8271412109886,0,0,2.77797762469953,0,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"cancer crabs",0.74,224.45,3.15,0.1183,26.552435,43.572778,0.60938127470321,303.310810810811,35.8816689189189,71.8271412109886,0.499555854708436,1.91955101531511,2.77797762469953,0.823488209058392,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"kelp crab",0.94,51.3,3.05,0.129,6.6177,43.572778,0.151876935640872,54.5744680851064,7.04010638297872,71.8271412109886,0.0980145703181861,0.463224653704659,2.77797762469953,0.161571208128587,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"urchin",0.36,14.43,1.64,0.7097,10.240971,43.572778,0.235031399650488,40.0833333333333,28.4471416666667,71.8271412109886,0.396050033275091,0.385451495426801,2.77797762469953,0.652864999029134,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"clam",0.43,8.63,2.22,0,0,43.572778,0,20.0697674418605,0,71.8271412109886,0,0,2.77797762469953,0,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"mussel",0.36,11.62,2.29,0.0108,0.125496,43.572778,0.00288014686600886,32.2777777777778,0.3486,71.8271412109886,0.00485331859409531,0.0065955363231603,2.77797762469953,0.00800040796113573,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
4,"turban snail",0.33,1.12,3.8,0.0323,0.036176,43.572778,0.000830243139420672,3.39393939393939,0.109624242424242,71.8271412109886,0.00152622310419159,0.00315492392979856,2.77797762469953,0.00251588830127476,1.64844071247852,59.3395964683776,1.64844071247852,35.9974101702191
5,"abalone",0.61,142.38,4.17,0.0233,3.317454,40.150182,0.0826261260783326,233.409836065574,5.43844918032787,62.9107030764072,0.0864471213065715,0.344550945746647,3.03638641214628,0.135452665702185,1.56688463022178,51.6035977487537,1.56688463022178,32.9338846992517
5,"cancer crabs",0.74,224.45,3.15,0.1103,24.756835,40.150182,0.616605797702237,303.310810810811,33.4551824324324,62.9107030764072,0.531788404777483,1.94230826276205,3.03638641214628,0.833251077975996,1.56688463022178,51.6035977487537,1.56688463022178,32.9338846992517
5,"kelp crab",0.94,51.3,3.05,0.103,5.2839,40.150182,0.131603388497716,54.5744680851064,5.62117021276596,62.9107030764072,0.0893515719565057,0.401390334918033,3.03638641214628,0.140003604784804,1.56688463022178,51.6035977487537,1.56688463022178,32.9338846992517
5,"urchin",0.36,14.43,1.64,0.1975,2.849925,40.150182,0.0709816209550432,40.0833333333333,7.91645833333333,62.9107030764072,0.125836430785371,0.116409858366271,3.03638641214628,0.197171169319565,1.56688463022178,51.6035977487537,1.56688463022178,32.9338846992517
5,"clam",0.43,8.63,2.22,0.136,1.17368,40.150182,0.029232246070516,20.0697674418605,2.72948837209302,62.9107030764072,0.0433867090752104,0.0648955862765454,3.03638641214628,0.0679819676058511,1.56688463022178,51.6035977487537,1.56688463022178,32.9338846992517
